"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5016","TC-4: Dashboard feed displays content @ui","chromium","2026-04-22","passed","2026-04-22","Github Homepage Features @homepage @regression","ui-tests\homepage-nav.spec.js","",""
"","1861","TC-09 : Login with invalid username and invalid password @negative @functional","chromium","2026-04-20","failed","2026-04-20","","login-module.spec.js","",""
"","915","Get invalid repository details","apiTest","2026-04-19","passed","2026-04-19","GitHub API Capstone Tests","api-tests\github.spec.js","",""
"","13394","TC-7: Verify responsive design","chromium","2026-04-19","passed","2026-04-19","","homepage-nav.spec.js","",""
"","33287","Create and delete repo","chromium","2026-04-22","passed","2026-04-22","GitHub E2E Tests","ui-tests\End-End-LoginPage.spec.js","",""
"","862","Validate user API for: octocat","chromium","2026-04-21","passed","2026-04-21","GitHub Users API - Data Driven + Schema","api-tests\data-schema.spec.js","",""
"","9802","Search validation: @@@@","chromium","2026-04-22","passed","2026-04-22","DDT using Excel","ui-tests\search-validation-xl.spec.js","",""
"","3590","10 Global Setup for Auto Login","chromium","2026-04-20","passed","2026-04-20","","login-module.spec.js","",""
"","3149","create and delete github repository using api","chromium","2026-04-20","passed","2026-04-20","","api-tests\createDelete.spec.js","",""
"","4953","TC-8: Keyboard navigation accessibility @accessibility @UI","chromium","2026-04-19","passed","2026-04-19","Github Home Page responses @responsive @accessibility","homepage-nav.spec.js","",""
"","8443","TC-8: Keyboard navigation accessibility","chromium","2026-04-19","passed","2026-04-19","","homepage-nav.spec.js","",""
"","5641","TC-7: Verify responsive design @responsive @UI","chromium","2026-04-19","passed","2026-04-19","Github Home Page responses @responsive @accessibility","homepage-nav.spec.js","",""
"","599","Verify that issue is created successfully","chromium","2026-04-20","failed","2026-04-20","Issue - CRUD Operations","api-tests\curd.spec.js","",""
"","10360","TC-1: Verify homepage loads correctly @smoke @critical","chromium","2026-04-19","passed","2026-04-19","Github Homepage Features @homepage @regression","homepage-nav.spec.js","",""
"","24744","TC-03 : Login with valid email and password @functional","chromium","2026-04-20","passed","2026-04-20","","login-module.spec.js","",""
